name,barcode,asset_number,serial_number,checkout_status,DSA_Notes,damage_notes
Rode VideoMic GO,39007054936323,2,HA0219052,Available,,
Extra Set of SD Cards,39007054936257,1,,Available,,Missing 1 SD Card - Broken Lock (S.D) 08/28/25
Extra Set of SD Cards,39007054936265,4,,CHECKED OUT,,
Extra Set of SD Cards,39007054936273,3,,Available,,
Extra Set of SD Cards,39007054936281,2,,Available,,
"K&F ND Filter, 55mm",39007054936455,1,,Available,,
"K&F ND Filter, 55mm",39007054936430,2,,Available,,
"K&F ND Filter, 55mm",39007054936406,3,,Available,,
"K&F ND Filter, 52mm",39007054936414,1,,CHECKED OUT,,
"K&F ND Filter, 52mm",39007054936398,2,,Available,,
"K&F ND Filter, 52mm",39007054936422,3,,Available,,
Zoom LiveTrak L8,39007054936448,2,,Available,,
DJI Osmo Pocket 3,39007054936604,1,5WTZN4K00246E2,CHECKED OUT,,ND filter is damaged (heavily scratched on one side) and removed from the kit (S.D) 10.07.25
DJI Osmo Pocket 3,39007054936463,2,5WTZN4G0028PPP,CHECKED OUT,,
DJI Osmo Pocket 3,39007054936489,4,5WTZN4M0026GRN,CHECKED OUT,,
Extra R50 Battery,39007054936505,1,,Available,,
Extra R50 Battery,39007054936513,2,,Available,,
Extra R50 Battery,39007054936539,4,,Available,,
Extra R50 Battery,39007054936547,5,,CHECKED OUT,,
Extra R50 Battery,39007054936554,6,,Available,,
Rode GO (Gen 3),39007054936612,1,KN0011320,CHECKED OUT,,
Rode GO (Gen 3),39007054936570,2,KN0011299,Available,,
Insta360 X5 (8K Action Camera),39007054936620,1,IAHEA25088QVC6,CHECKED OUT,,
Testing Accordion,,,,Available,,
